Страна,1,2,3,4,5,6,7,Лого
5,,Читтаделла,,Читтаделла,Читтаделла,Читтаделла,Читтаделла,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1291.png
5,,Пиза,,Пиза,Пиза,Пиза,Пиза,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1290.png
5,,Эмполи,,Эмполи,Эмполи,Эмполи,Эмполи,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1261.png
5,,Венеция,,Венеция,Венеция,Венеция,Венеция,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1278.png
5,,Юве Стабия,,Юве Стабия,Юве Стабия,Юве Стабиа,Юве Стабиа,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2547.png
5,,Салернитана,,Салернитана,Салернитана,Салернитана,УС Салернитана 1919,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1275.png
5,,Ливорно,,Ливорно,Ливорно,Ливорно,Ливорно,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1258.png
5,,Трапани,,Трапани,Трапани,Трапани,Трапани,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/12229.png
5,,Порденоне,,Порденоне,Порденоне,Порденоне,Порденоне,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/12131.png
5,,Перуджа,,Перуджа,Перуджа,Перуджа,Перуджа,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1262.png
5,,Специя,,Специя,Специя,Специя,Специа,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/22193.png
5,,Фрозиноне,,Фрозиноне,Фрозиноне,Фрозиноне,Фросиноне,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/2981.png
6,ПСЖ,ПСЖ,ПСЖ,ПСЖ,ПСЖ,ПСЖ,ПСЖ,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5618.png
6,Лилль,Лилль,Лилль,Лилль,Лилль,Лилль,Лилль,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Lill_FK_logo.png
6,Лион,Лион,Лион,Лион,Лион,Лион,Лион,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Olympique_Lyonnais.png
6,Ницца,Ницца,Ницца,Ницца,Ницца,Ницца,Ницца,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5580.png
6,Амьен,Амьен,Амьен,Амьен СК,Амьен,Амьен,Амьен СК,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/908.png
6,Страсбур,Страсбур,Страсбур,Страсбур,Страсбур,Страсбур,Страсбург,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/France/Strasbourg_logo.png
6,Анжер,Анжер,Анже,Анже,Анже,Анжер,Анже,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Anzhe_FK_logo.png
6,Ним,Ним,Ним,Ним,Ним,Ним,Ним Олимпик,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/France/221px-Nim_logo.png
6,Дижон,Дижон,Дижон,Дижон,Дижон,Дижон,Дижон,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/923.png
6,Ренн,Стад Ренн,Ренн,Ренн,Ренн,Ренн,Ренн,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/16385.png
6,Мец,Метц,Мец,Мец,Мец,Метц,Мец,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/896.png
6,Реймс,Реймс,Реймс,Реймс,Реймс,Реймс,Реймс,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Stade_Reims_Logo.svg.png
6,Брест,Брест,Брест,Брест,Брест,Брест,Брест,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/8949.png
6,Нант,Нант,Нант,Нант,Нант,Нант,Нант,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/889.png
6,Бордо,Бордо,Бордо,Бордо,Бордо,Бордо,Бордо,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Girondins_Bordeaux_Logo.svg.png
6,Монако,Монако,Монако,Монако,Монако,Монако,Монако,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/885.png
6,Ст.Этьен,Сент-Этьен,Сент-Этьен,Сент-Этьен,Сент-Этьен,Сент-Этьен,Сент-Этьен,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Logo_AS_Saint-Etienne.svg.png
6,Монпелье,Монпелье,Монпелье,Монпелье,Монпелье,Монпелье,Монпелье,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5581.png
6,Тулуза,Тулуза,Тулуза,Тулуза,Тулуза,Тулуза,Тулуза,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Tuluza_FK_logo.png
6,Марсель,Марсель,Марсель,Марсель,Марсель,Марсель,Олимпик Марсель,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/OMLogo.png
6,,Аяччо,,Аяччо,Аяччо,Аяччо,Аяччо,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/900.png
6,,Клермон,,Клермон,Клермон,Клермон Фут,Клермон,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/8920.png
6,,Кан,,Кан,Кан,Кан,Кан,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Kan_logo.png
6,,Ле-Ман,,Ле-Ман,Ле-Ман,Ле Ман,Ле Ман,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/905.png
6,,Шатору,,Шатору,Шатору,Шатору,Шатору,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9497.png
6,,Лорьян,,Лорьян,Лорьян,Лорьян,Лорьян,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/907.png
6,,Труа,,Труа,Труа,Труа,Труа,http://
6,,Шамбли,,Шамбли,Шамбли,Шамбли,Шамбли,http://
6,,Гренобль,,Гренобль,Гренобль,Гренобль,Гренобль Фут 38,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/917.png
6,,Нанси,,Нанси,Нанси,Нанси,Нанси,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9022.png
6,,Ньор,,Ньор,Ньор,Ньор,Ньор,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/8875.png
6,,Родез,,Родез,Родез,Родез Авейрон,Родез Авейрон,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/France/Rodez_Avejron_7892.png
6,,Орлеан,,Орлеан,Орлеан,Орлеан,Орлеан,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5604.png
6,,Валансьен,,Валансьен,Валансьен,Валансьен,Валансьен,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/933.png
6,,Париж,,ФК Париж,Париж ФК,Париж,Париж,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/16243.png
6,,Осер,,Осер,Осер,Осер,Осер,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/1134.png
6,,Ланс,,Ланс,Ланс,Ланс,Ланс,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/6926.png
6,,Сошо,,Сошо,Сошо,Сошо,Сошо,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/887.png
6,,Гавр,,Гавр,,Гавр,Гавр,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/8793.png
6,,Генгам,,Генгам,,Генгам,Генгам,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/19623.png
