Страна,1,2,3,4,5,6,7,Лого
2,Манчестер Сити,Манчестер С,Манчестер Сити,Манчестер Сити,Манчестер Сити,Манчестер Сити,Манчестер Сити,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Manchester_City_logo_2016.png
2,Челси,Челси,Челси,Челси,Челси,Челси,Челси,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/661.png
2,Шеффилд Юнайтед,Шеффилд Юн,Шеффилд Юнайтед,Шеффилд Юнайтед,Шеффилд Юнайтед,Шеффилд Юнайтед,Шеффилд Юнайтед,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/687.png
2,Манчестер Юн.,Манчестер Юн,Манчестер Юнайтед,Манчестер Юнайтед,Манчестер Юнайтед,Манчестер Юнайтед,Манчестер Юнайтед,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/220px-Manchester_United_FC_crest.svg.png
2,Астон Вилла,Астон Вилла,Астон Вилла,Астон Вилла,Астон Вилла,Астон Вилла,Астон Вилла,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/665.png
2,Ньюкасл,Ньюкасл Юн,Ньюкасл Юнайтед,Ньюкасл Юнайтед,Ньюкасл,Ньюкасл,Ньюкасл Юнайтед,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/Newcastle_United_Logo.svg.png
2,,Чарльтон Атлетик,,Чарльтон Атлетик,Чарльтон,Чарльтон Атлетик,Чарльтон Атлетик,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/668.png
2,,Кардифф С,,Кардифф Сити,Кардифф,Кардифф Сити,Кардифф Сити,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/691.png
2,,Фулхэм,,Фулхэм,Фулхэм,Фулхэм,Фулхэм,http://
2,,КПР,,Куинз Парк Рейнджерс,КПР,КПР,Куинз Парк Рейнджерс,http://
2,,Блэкберн Роверс,,Блэкберн Роверс,Блэкберн,Блэкберн Роверс,Блэкберн Роверс,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5263.png
2,,Барнсли,,Барнсли,Барнсли,Барнсли,Барнсли,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/716.png
2,,Брентфорд,,Брентфорд,Брентфорд,Брентфорд,Брентфорд,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/722.png
2,,Рединг,,Рединг,Рединг,Рединг,Рединг,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/9548.png
2,,Бристоль С,,Бристоль Сити,Бристоль Сити,Бристоль Сити,Бристоль Сити,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/707.png
2,,Ноттингем Форест,,Ноттингем Форест,Ноттингем,Ноттингем Форест,Ноттингем Форест,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/5269.png
2,,Дерби Каунти,,Дерби Каунти,Дерби,Дерби Каунти,Дерби Каунти,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/699.png
2,,Престон Норт Энд,,Престон Норт Энд,Престон,Престон,Престон Норт Энд,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/693.png
2,,Хаддерсфилд Т,,Хаддерсфилд Таун,Хаддерсфилд,Хаддерсфилд Таун,Хаддерсфилд Таун,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/726.png
2,,Бирмингем C,,Бирмингем Сити,Бирмингем,Бирмингем,Бирмингем Сити,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/669.png
2,,Лутон Т,,Лутон Таун,Лутон,Лутон Таун,Лутон,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/712.png
2,,Лидс Юн,,Лидс Юнайтед,Лидс ,Лидс Юнайтед,Лидс Юнайтед,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/681.png
2,,Сток С,,Сток Сити,Сток,Сток Сити,Сток Сити,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/690.png
2,,Уиган,,Уиган Атлетик,Уиган,Уиган Атлетик,Уиган Атлетик,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/686.png
2,,Суонси,,Суонси Сити,Суонси,Суонси Сити,Суонси Сити,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/738.png
2,,Миллуолл,,Миллуолл,Миллуолл,Миллуолл,Миллуолл,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/689.png
2,,Вест Бромвич,,Вест Бромвич Альбион,Вест Бромвич,Вест Бромвич,Вест Бромвич Альбион,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/678.png
2,,Шеффилд Уэнсдей,,Шеффилд Уэнсдэй,Шеффилд Уэнсдей,Шеффилд Уэнсдей,Шеффилд Уинсдей,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/719.png
2,,Мидлсбро,,Мидлсбро,Мидлсбро,Миддлсбро,Мидлсбро,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/671.png
2,,Халл С,,Халл Сити,Халл,Халл Сити,Халл Сити,http://origin.bkfon-resources.com/ContentCommon/Logotypes/TeamLogos/Football/725.png
